Table 1
Question,Text Answer,Rigorous,Serene,Detailed,Bold,Eternal,Temporal,Individual,Collective
Q1,Nearly every day,3,,3,,,,1,
Q1,Frequently – at least a couple of times a month,1,,1,,,,,1
Q1,Occasionally,,1,,1,,,,1
Q1,Almost never,,1,,1,,,1,
Q2,Yes,,,,,,,,1
Q2,No,,,1,,,,,
Q3,"As often as possible, and sometimes even when it is not needed",,,,1,,,,1
Q3,"Whenever I need it, I have it and use it",,,1,,,,,1
Q3,I’m not very confident with it – I hesitate when I meet another speaker of the language,,,1,,,,1,
Q3,I’ve already forgotten almost everything I learned and don’t intend to use it,,,,,,1,,
Q4,Yes,,,,1,,1,,
Q4,No,,,1,,1,,,
Q5,1 - just my own,,,3,,,,,
Q5,2 - 5: a few memorable trips,,1,,,,,,
Q5,6 - 15: a frequent international traveler,1,3,,,,,,
Q5,16 - 30: I travel like it's my job,1,,1,,,,,
Q5,31+: I may have actually lost count,3,,,3,,,,
Q6,"I avoid the crowd and find a calm spot. I might find one person to talk to, especially if they are also trying to avoid the crowd.",1,,,1,,,,
Q6,I make a big entrance and meet as many people as possible. Then I end up having one or two great conversations with people that stand out as the most interesting to me.,,1,,1,,,,
Q6,I have to keep moving. I don’t spend too long in any one conversation. You never know who you might meet!,,1,1,,,,,
Q6,I look for someone I recognize – someone I know I can trust. I stay by their side and trust them to make (or not make) introductions to others.,1,,1,,,,,
Q7,"A comfortable chair, a good book and no obligations",,1,,,2,,2,
Q7,A hike in the woods to a scenic viewpoint,,,,2,,,,
Q7,People-watching at a park,,,,,,2,,2
Q7,Running errands and getting a lot of things done,1,,2,,,,,
Q8,I have to read a book about it in order to really learn,1,,,,3,,1,
Q8,I prefer to watch a documentary or historical film,,1,,,,1,,1
Q8,I have to go there and experience it myself,,,,1,,3,1,
Q8,I learn best through other people’s stories and pictures,,,,1,,,,1
Q9,They are an inspiration!,1,,,1,,1,,2
Q9,They are crazy and foolish. There are too many dangerous places in this world.,1,,2,,,,1,
Q9,They must have too much time and money on their hands. There are more important things to do.,1,,1,,,,2,
Q9,"They must be smart, and lucky. Or, they cheated somehow.",,1,,2,,,,1
Q10,"I believe there is a higher power, and that my faith has identified it correctly.",,,1,,3,,,1
Q10,"I sense that there is something supernatural out there in the universe, and I want to be open to it.",,,,1,1,,3,
